Albums,Plays
King Crimson,In the Court of the Crimson King,1989
Michael McCann,Deus Ex: Mankind Divided (Original Soundtrack),1774
Michael McCann,Deus Ex: Human Revolution (Original Soundtrack),1251
Pink Floyd,The Dark Side of the Moon,991
The Police,Reggatta De Blanc,775
Dire Straits,Brothers in Arms,663
Stephen Rippy,Age of Empires II HD,662
Mick Gordon,DOOM (Original Game Soundtrack),632
Alexander Brandon,Deus Ex Soundtrack,598
Tool,Lateralus,558
Supertramp,Crime of the Century,531
Mick Gordon,DOOM Eternal Original Game Soundtrack,463
Alexander Brandon,Conspiravision: Deus Ex Remixed,445
King Crimson,Red,411
Gorillaz,Demon Days,403
Martin O'Donnell &amp; Michael Salvatori,Halo: Combat Evolved Original Soundtrack,395
Home,Odyssey,367
Pink Floyd,Wish You Were Here,363
Pink Floyd,The Wall,353
The Police,Ghost In The Machine,340
King Crimson,In the Wake of Poseidon,327
Martin O'Donnell &amp; Michael Salvatori,Halo 2 Anniversary Original Soundtrack,327
"LudoWic, Bill Kiley",Katana ZERO - Original Soundtrack,323
Radiohead,OK Computer,312
Supertramp,Breakfast In America,312
The Police,Synchronicity,307
Rage Against the Machine,Rage Against the Machine,270
Camel,Mirage,262
Nick Arundel,Batman: Arkham City,244
Hans Zimmer,Interstellar,239
Linkin Park,Hybrid Theory,238
Pink Floyd,Animals,237
Camel,Moonmadness,226
Christopher Larkin,Hollow Knight,226
Foster the People,Torches,221
Muse,Black Holes and Revelations,218
Home,Falling Into Place,212
Home,Before The Night,204
Gorillaz,Plastic Beach,197
Beastie Boys,Hello Nasty,175
Dire Straits,On Every Street,173
Hans Zimmer,The Dark Knight: Original Motion Picture Soundtrack,170
Rush,Moving Pictures,164
Robert Prince,DOOM 1993 (Original Game Soundtrack),163
Beastie Boys,Ill Communication,161
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",New Super Mario Bros. Wii,157
Dire Straits,Love Over Gold,148
Gorillaz,Gorillaz,147
Dire Straits,Making Movies,146
Red Hot Chili Peppers,Blood Sugar Sex Magik,141
