Arist,Playcount
Hans Zimmer,4
Cream,4
The Police,6
Stephen Rippy,7
Dire Straits,14
Five Finger Death Punch,17
Five Finger Death Punch,6
Dire Straits,10
King Crimson,12
King Crimson,20
King Crimson,35
King Crimson,17
King Crimson,10
Red Hot Chili Peppers,10
Red Hot Chili Peppers,14
Red Hot Chili Peppers,11
Linkin Park,9
Red Hot Chili Peppers,13
U2,17
Red Hot Chili Peppers,13
Linkin Park,3
Red Hot Chili Peppers,3
Metallica,17
King Crimson,11
King Crimson,4
King Crimson,12
Pink Floyd,7
Red Hot Chili Peppers,4
Pink Floyd,6
Pink Floyd,7
The Police,6
Pink Floyd,22
King Crimson,6
King Crimson,23
King Crimson,12
King Crimson,8
King Crimson,17
King Crimson,18
King Crimson,14
King Crimson,15
King Crimson,19
Robert Prince,4
Robert Prince,25
King Crimson,33
King Crimson,30
King Crimson,22
King Crimson,80
King Crimson,42
King Crimson,21
King Crimson,47
King Crimson,41
Pink Floyd,81
Pink Floyd,83
Pink Floyd,72
Pink Floyd,52
Pink Floyd,24
Pink Floyd,57
Pink Floyd,48
Muse,18
Muse,21
Beastie Boys,98
Beastie Boys,66
Beastie Boys,68
Beastie Boys,47
Dire Straits,30
Gentle Giant,26
Dire Straits,25
Dire Straits,43
Dire Straits,13
Dire Straits,16
Pink Floyd,4
Dire Straits,15
Dire Straits,13
Tool,34
Dire Straits,30
Tool,3
Tool,32
Tool,58
Tool,57
Tool,28
The Police,50
The Police,92
The Police,76
The Police,51
The Police,92
The Police,76
The Police,28
The Police,100
The Police,96
The Police,62
The Police,30
The Police,7
Red Hot Chili Peppers,21
Red Hot Chili Peppers,12
Red Hot Chili Peppers,11
Rush,17
Rush,13
Rush,7
Rush,29
Rush,27
Foster the People,54
Foster the People,112
Rush,32
King Crimson,33
King Crimson,47
King Crimson,51
King Crimson,55
King Crimson,17
Dire Straits,43
Hans Zimmer,78
Hans Zimmer,20
Hans Zimmer,106
Hans Zimmer,76
Nick Arundel,26
Hans Zimmer,11
Nick Arundel,7
Nick Arundel,17
Alexander Brandon,22
Nick Arundel,20
Nick Arundel,40
Nick Arundel,38
Mick Gordon,20
Nick Arundel,62
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",45
Mick Gordon,16
Mick Gordon,59
Mick Gordon,83
King Crimson,48
King Crimson,33
King Crimson,54
Tool,21
King Crimson,9
King Crimson,67
King Crimson,41
King Crimson,60
King Crimson,30
Tool,22
AC/DC,7
Pink Floyd,19
Tool,34
Tool,52
The Police,3
Rush,4
Mick Gordon,2
Rage Against the Machine,4
Rage Against the Machine,7
Dire Straits,26
Amon Tobin,47
Alexander Brandon,45
Alexander Brandon,44
Alexander Brandon,7
Led Zeppelin,15
Led Zeppelin,46
Linkin Park,38
Led Zeppelin,54
Red Hot Chili Peppers,33
King Crimson,24
Pink Floyd,22
Alexander Brandon,28
Christopher Larkin,40
Christopher Larkin,86
Christopher Larkin,63
Howard Shore,53
Howard Shore,48
Michael McCann,114
Michael McCann,139
Michael McCann,43
Michael McCann,149
Michael McCann,123
Michael McCann,206
Michael McCann,104
Michael McCann,129
Michael McCann,196
Michael McCann,108
Michael McCann,55
King Crimson,85
King Crimson,82
King Crimson,83
Hans Zimmer,45
Pink Floyd,96
Pink Floyd,86
Pink Floyd,43
Pink Floyd,80
Pink Floyd,26
Pink Floyd,22
The Police,33
The Police,34
New Order,72
New Order,31
Michael McCann,32
Michael McCann,90
Michael McCann,78
The Police,61
Michael McCann,51
Michael McCann,22
Tool,31
The Police,29
Aperture Science Psychoacoustics Laboratory,77
Aperture Science Psychoacoustics Laboratory,5
Tool,12
The Police,30
Rage Against the Machine,9
Yes,9
Rage Against the Machine,25
Aperture Science Psychoacoustics Laboratory,23
Rage Against the Machine,12
Rage Against the Machine,23
Yes,12
Yes,7
Jethro Tull,12
Tool,54
Tool,73
Tool,14
Pink Floyd,18
Pink Floyd,22
Red Hot Chili Peppers,20
Martin O'Donnell &amp; Michael Salvatori,63
Martin O'Donnell &amp; Michael Salvatori,243
Martin O'Donnell &amp; Michael Salvatori,245
Mick Gordon,43
Mick Gordon,85
Mick Gordon,70
Mick Gordon,47
King Crimson,47
King Crimson,23
King Crimson,43
Red Hot Chili Peppers,40
King Crimson,35
King Crimson,51
King Crimson,29
King Crimson,27
Dire Straits,32
Dire Straits,34
Dire Straits,53
Dire Straits,53
Mick Gordon,34
Dire Straits,36
Dire Straits,29
Dire Straits,54
Dire Straits,16
Ludwig Göransson,28
King Crimson,69
Michael McCann,49
Michael McCann,54
King Crimson,58
King Crimson,58
King Crimson,23
Camel,50
Camel,53
Camel,39
Camel,20
Camel,18
Camel,65
Camel,47
Camel,36
Supertramp,163
Supertramp,177
Supertramp,127
Supertramp,84
Supertramp,47
Pink Floyd,51
Pink Floyd,44
Pink Floyd,17
Alexander Brandon,49
Rush,66
Alexander Brandon,30
Alexander Brandon,38
Keiki Kobayashi,60
Keiki Kobayashi,32
Alexander Brandon,29
Alexander Brandon,119
Alexander Brandon,69
Alexander Brandon,36
King Crimson,29
Jesper Kyd,45
King Crimson,37
King Crimson,32
Jesper Kyd,14
Stephen Rippy,66
Stephen Rippy,97
Stephen Rippy,16
Muse,31
Muse,52
Muse,47
Muse,66
King Crimson,30
King Crimson,23
Dire Straits,20
The Police,22
The Police,16
Dire Straits,6
Stephen Rippy,21
Stephen Rippy,34
Mick Gordon,28
Alexander Brandon,59
Home,87
Home,103
Home,51
Home,92
Home,31
Home,88
Home,87
Home,129
Home,48
Home,18
Mick Gordon,3
Mick Gordon,23
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",15
Steve Miller Band,4
Radiohead,20
Radiohead,5
Pink Floyd,8
Radiohead,8
Radiohead,9
Steely Dan,8
Radiohead,2
Boston,1
Pink Floyd,6
Alexander Brandon,6
Mick Gordon,6
C418,13
Alexander Brandon,9
C418,2
C418,2
Pink Floyd,3
King Crimson,3
AC/DC,3
Audioslave,1
Muse,1
Green Day,1
Pink Floyd,19
King Crimson,7
Rage Against the Machine,2
Supertramp,2
Pink Floyd,4
Rush,15
Supertramp,13
Supertramp,32
Supertramp,40
Supertramp,33
Supertramp,15
Supertramp,4
Rush,18
Rush,38
Stephen Rippy,14
Pink Floyd,9
Supertramp,23
Pink Floyd,5
Pink Floyd,24
Rush,12
Stephen Rippy,32
Michael McCann,1
Martin O'Donnell &amp; Michael Salvatori,4
Mick Gordon,15
Mick Gordon,12
Michael McCann,19
Stephen Rippy,1
Martin O'Donnell &amp; Michael Salvatori,15
Michael McCann,38
Dire Straits,11
Camel,10
Camel,5
Camel,4
The Police,6
Martin O'Donnell &amp; Michael Salvatori,17
Martin O'Donnell &amp; Michael Salvatori,12
Camel,1
Dire Straits,1
Rush,3
Pink Floyd,5
Pink Floyd,7
Camel,3
Pink Floyd,17
Linkin Park,13
Camel,26
Camel,14
Camel,52
Camel,26
Radiohead,24
Radiohead,51
Radiohead,9
Muse,13
Radiohead,13
Radiohead,9
Radiohead,16
Dire Straits,6
Muse,16
Yes,8
Michael McCann,18
Michael McCann,18
Michael McCann,14
Tool,11
Michael McCann,47
King Crimson,37
Dire Straits,14
CoLD SToRAGE,32
CoLD SToRAGE,6
CoLD SToRAGE,54
Dire Straits,8
Pink Floyd,7
Dire Straits,10
Red Hot Chili Peppers,5
King Crimson,5
Hans Zimmer,8
Hans Zimmer,10
Home,15
Dire Straits,4
Michael McCann,21
Home,13
Home,7
King Crimson,3
Gorillaz,29
Gorillaz,55
Gorillaz,68
Gorillaz,130
Gorillaz,80
Gorillaz,96
Gorillaz,53
Gorillaz,54
Gorillaz,29
Gorillaz,35
Michael McCann,35
Michael McCann,27
Michael McCann,83
Michael McCann,27
Michael McCann,31
Michael McCann,13
Michael McCann,101
Michael McCann,49
Camel,12
Michael McCann,19
Michael McCann,11
Home,15
Home,17
Michael McCann,22
Home,11
George Michael,7
Michael McCann,16
Michael McCann,39
Michael McCann,9
Stephen Rippy,4
Michael McCann,25
Martin O'Donnell &amp; Michael Salvatori,20
Stephen Rippy,13
Stephen Rippy,4
Stephen Rippy,11
Michael McCann,27
Martin O'Donnell &amp; Michael Salvatori,21
Martin O'Donnell &amp; Michael Salvatori,21
Home,12
Home,16
Stephen Rippy,5
Alexander Brandon,11
Stephen Rippy,16
Gorillaz,4
Stephen Rippy,16
Gorillaz,5
Ludowick,13
Ludowick,69
Bill Kiley,48
Bill Kiley,5
Home,4
Foster the People,4
The Clash,4
Beastie Boys,3
Beastie Boys,4
Gorillaz,3
Home,4
Gorillaz,5
Martin O'Donnell &amp; Michael Salvatori,8
Lenny Kravitz,4
Lenny Kravitz,2
Alexander Brandon,9
Alexander Brandon,6
&quot;Weird Al&quot; Yankovic,11
Weird,
Weird,
&quot;Weird Al&quot; Yankovic,18
Weird,
&quot;Weird Al&quot; Yankovic,22
Weird,
&quot;Weird Al&quot; Yankovic,10
&quot;Weird Al&quot; Yankovic,3
Weird,
Weird,
Weird,
Gorillaz,2
Weird,
Rush,8
Rush,4
Michael McCann,15
Michael McCann,6
Weird,
Dire Straits,2
The Police,7
Supertramp,7
Pink Floyd,3
The Police,5
